ready	folder	essay	thumbnail	manifest	height	width	format	iiif-url	attribution	source	author	description	license	label	url	attribution-url
		19c-austen-biography							Penny Mayes / Eastwell Manor Hotel, Boughton Lees					Eastwell Manor Hotel, Boughton Lees - geograph.org.uk	https://upload.wikimedia.org/wikipedia/commons/7/77/Eastwell_Manor_Hotel%2C_Boughton_Lees_-_geograph.org.uk_-_129089.jpg	
		19c-austen-biography							N. Chadwick / The Red House					The Red House, Sevenoaks -geograph.org	https://upload.wikimedia.org/wikipedia/commons/3/31/The_Red_House%2C_Sevenoaks-geograph.org-3419824.jpg	
	19c	19c-jerome-biography													images/Jerome_K._Jerome.jpg	
	19c	19c-reynoldsgwm-biography													images/Mary Price on Dover Beach.jpg	
	19c	19c-reynoldsgwm-biography													/dickens/images/TurnerDoverD18185410.jpg	
	19c	19c-chatham-dockyard													images/The_Medway_Chatham_England-LCCN2002711859.jpg	
	19c	19c-folkestone-free-library													images/geograph-6441598-by-Wayland-Smith.jpg	
	19c	19c-folkestone-free-library													images/library indicator1.jpg	
	19c	19c-folkestone-free-library													images/kippsinfolkestonelibrary.jpg	
	19c	19c-seaside													images/Margatefromtheparade.jpg	
	19c	19c-keats-margate													images/bettisonslibrary.jpg	
	19c	19c-burnand-biography													https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Francis_Burnand.png/256px-Francis_Burnand.png	
		19c-darwin-biography												Charles Darwin/ Julia Margaret Cameron, Public domain, via Wikimedia Commons	https://upload.wikimedia.org/wikipedia/commons/a/ae/Charles_Darwin_by_Julia_Margaret_Cameron_3.jpg	
		19c-darwin-biography												Tree of Life/ Ernst Haeckel, Public domain, via Wikimedia Commons	https://upload.wikimedia.org/wikipedia/commons/d/de/Tree_of_life_by_Haeckel.jpg	
		19c-darwin-biography												Down House/ Anthonyeatworld at the English Wikipedia, CC BY-SA 3.0, via Wikimedia Commons	https://upload.wikimedia.org/wikipedia/commons/6/6d/Down_House.jpg	
		19c-darwin-biography												Pitcher plant (Nepenthaceae: insectivorous)/ Ernst Haeckel, Public domain, via Wikimedia Commons	https://upload.wikimedia.org/wikipedia/commons/7/74/Haeckel_Nepenthaceae.jpg	
	19c	19c-folkestone													images/leasonawindyday.jpg	
		19c-blackmore-biography							© National Portrait Gallery, London					Richard Doddridge Blackmore by Frederick John Jenkins, published by Sampson Low, Marston & Co Ltd heliogravure, after 1885 NPG x7343	images/Richard-Doddridge-Blackmore.jpg	
		19c-blackmore-biography							J. M. W. Turner, Public domain, via Wikimedia Commons					Somer Hill, Tonbridge, Joseph Mallord William Turner	https://upload.wikimedia.org/wikipedia/commons/d/db/Joseph_Mallord_William_Turner_%281775-1851%29_-_Somer_Hill%2C_Tonbridge_-_NG_1614_-_National_Galleries_of_Scotland.jpg	
		19c-blackmore-biography							Michelle Crowther					Kentish cherries	images/cherries.jpg	
		19c-blackmore-biography							Chris Gunns / Farmland, Wrotham Waters					Wrotham Water	https://upload.wikimedia.org/wikipedia/commons/f/f4/Farmland%2C_Wrotham_Water_-_geograph.org.uk_-_839286.jpg	
		19c-franklin-biography												Sir John Franklin	images/franklin.jpg	
		19c-franklin-biography												Illustration of the ships Erebus and Terror leaving Greenhithe. Published in the Illustrated London News, 24th May 1845, p. 328.	images/erebus.jpg	
		19c-franklin-biography												Franklin Pub	images/Franklinpub.jpg	
	20c	20c-wynne-biography													images/lovemist.jpg	
	20c	20c-ferguson-biography													images/road of remembrance MC.jpg	
		20c-belgian-refugees							Folkestone Museum					Belgian Refugees	images/arrivalofbelgiansFMuseum.jpg	
		20c-belgian-refugees							Folkestone Museum					Belgian Refugees	images/arrivalofbelgiansFMuseum.jpg	
	20c	20c-hop-picking													/20c/images/OasthousesMJC.jpg	
	20c	20c-hop-picking													/20c/images/Hop pickers.jpg	
	20c	20c-folkestone-ww1													images/The Doorway of England A80069-72.jpg	
	20c	20c-folkestone-ww1													images/White Feather play.jpg	
		20c-cohen-biography												The Coach House, Ballards, Near Goudhurst, in 1963. Photo: Alfred Cohen Archive	images/ballards.jpg	
		20c-cohen-biography												Alfred Cohen, Hedgecutting and Harvesting, 1969, oil on canvas, 40 x 28 in; 101.6 x 71.1 cm. © The Artist’s Estate. Believed to have been overpainted. Slide, Alfred Cohen Archive	images/hedgecutting.JPG	
